Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
Local comercial;Lince;0;0;0;21;900;;
Almacén;Comas;0;5;0;2546;12000;;3000
Local comercial;Ate;0;1;0;32;1500;719;
Departamento;San Borja;1;0;0;26;1200;440;55
Local comercial;Pachacámac;0;0;0;80;1900;2500;
Departamento;Rímac;4;3;3;510;25000;4800;2400
Departamento;Ventanilla;1;1;0;60;1250;420;20
Departamento;Lince;2;1;0;60;750;215;
Departamento;Punta Hermosa;2;0;1;90;3300;1865;258
Almacén;Chaclacayo;0;0;0;1000;15000;;
Local comercial;Ate;0;1;0;28;600;542;213
Local comercial;Pachacámac;0;0;0;541;27040;14980;
Local comercial;Pachacámac;0;0;0;50;1600;900;86
Departamento;Callao;3;2;1;132;1900;1115;137
Departamento;Comas;2;0;0;51;950;300;16
Departamento;Mi Perú;2;1;0;70;1800;550;102
Almacén;El Agustino;0;5;0;1100;15000000;;1000
Local comercial;Punta Hermosa;0;2;0;66;3000;1989;440
Departamento;Ate;4;4;4;333;14000;2800;1200
Departamento;Punta Hermosa;3;1;1;160;4000;1600;240
Departamento;Ate;4;2;0;170;7000;2200;800
Departamento;Jesús María;2;1;1;100;1650;700;150
Departamento;Ventanilla;3;3;2;380;30000;9600;2000
Departamento;San Borja;3;0;0;105;2600;1011;177
Casa de villa;La Perla;2;1;0;80;1000;;
Local comercial;San Miguel;0;1;0;41;650;610;164
Departamento;San Borja;3;1;0;100;3200;700;100
Local comercial;La Punta;0;27;0;980;78000;29151;
Departamento;Santa Anita;3;0;0;100;1500;100;
Tienda/Salón;San Borja;0;0;0;60;10000;;6731
Departamento;Comas;2;1;0;70;3600;644;128
Tienda/Salón;Lince;0;0;0;110;2500;;
Almacén;San Martín de Porres;0;1;0;240;5000;;1800
Departamento;Ventanilla;2;1;0;80;1600;550;
Departamento;Ate;2;1;0;72;800;150;12
Departamento;Ate;3;2;1;90;3000;1000;
Local comercial;Pachacámac;0;0;0;22;580;600;100
Departamento;Breña;2;1;0;90;2900;815;96
Tienda/Salón;Lurín;0;0;0;25;300;700;130
Local comercial;Pachacámac;0;0;0;304;5000;8273;8261
Casa de villa;Callao;2;0;0;61;1100;30;13
Local comercial;Pachacámac;0;0;0;200;5000;2000;800
Departamento;Mi Perú;1;0;0;45;1100;250;
Departamento;Lurín;3;1;0;81;1400;655;16
Departamento;San Borja;2;2;1;100;3600;750;150
Departamento;Ate;4;3;3;293;12000;4200;
Departamento;Pueblo Libre;4;3;1;200;7700;2000;908
Local comercial;Chorrillos;0;4;0;420;40000;11200;2600
Departamento;Ate;4;3;4;429;20000;4604;9505
Edificio completo;Pachacámac;0;0;0;6986;560000;;
Edificio completo;Ate;0;0;0;600;10000;;13000
Casa en condominio;Ate;4;8;4;700;18000;1700;2700
Departamento;Chorrillos;2;1;1;78;3000;940;181
Departamento;Comas;3;2;2;170;12000;1550;616
Departamento;Ventanilla;2;2;0;102;1600;992;129
Flat;Punta Hermosa;1;1;0;50;2800;800;90
Almacén;Punta Negra;0;0;0;1050;16500;;2000
Tienda/Salón;Ate;0;1;0;36;1100;1200;278
Departamento;Villa El Salvador;3;1;0;100;3000;900;200
Departamento;Comas;3;1;0;120;3500;1500;206
Local comercial;Ate;0;0;0;35;1000;1242;244
Departamento;Jesús María;3;2;1;74;1500;1071;163
Almacén;Lince;0;0;0;400;8000;;
Departamento;Pucusana;3;0;0;149;2000;890;52
Departamento;Ate;3;1;1;73;1700;616;29
Casa;Ate;6;4;4;480;20000;1100;
Departamento;Jesús María;2;2;1;103;1950;826;44
Local comercial;Ate;0;0;0;30;1800;650;300
Local comercial;La Molina;0;0;0;75;2800;1417;
Departamento;San Bartolo;2;0;0;84;3000;720;130
Local comercial;Ate;0;2;0;54;3000;1248;
Casa;Punta Hermosa;4;0;2;85;8900;;
Local comercial;Pachacámac;0;0;0;677;24000;17272;1177
Departamento;Comas;2;1;0;60;950;652;
Departamento;Breña;3;1;1;80;4500;1621;240
Departamento;Jesús María;3;2;1;185;3100;1230;395
Departamento;San Borja;3;1;0;90;3200;700;180
Departamento;Lince;2;0;0;66;950;75;
Departamento;Rímac;3;1;0;120;6500;1600;2611
Departamento;Ate;3;3;3;210;5200;2600;
Departamento;Rímac;4;3;1;160;8000;1500;564
Departamento;San Borja;3;1;0;92;2500;1100;110
Departamento;Ate;3;2;1;100;3000;1200;
Departamento;Santa Anita;2;1;0;66;1250;440;36
Departamento;Jesús María;3;2;1;121;2500;1123;
Departamento;San Luis;2;1;1;68;1250;520;81
Departamento;Chaclacayo;1;0;0;38;850;170;
Departamento;Comas;1;0;0;125;6000;1800;506
Local comercial;Ate;0;1;0;32;1400;1300;250
Departamento;Chorrillos;2;1;2;136;4480;1200;299
Local comercial;Jesús María;0;1;0;28;1100;330;120
Local comercial;Villa El Salvador;0;7;0;670;53600;13400;
Local comercial;Pachacámac;0;0;0;30;1200;395;79
Departamento;San Borja;3;0;0;180;14000;2500;
Flat;San Borja;1;1;1;38;2700;1100;90
Departamento;Ate;4;3;4;294;9999;3121;640
Local comercial;Puente Piedra;0;0;0;118;3540;1180;
Tienda/Salón;Punta Negra;0;0;0;30;1500;;96
Local comercial;Pachacámac;0;0;0;27;300;438;112
Departamento;Comas;4;2;1;270;21000;2646;824
Departamento;Callao;2;1;1;90;1800;805;155
Departamento;La Perla;3;2;1;120;5250;1500;350
Flat;San Borja;1;0;0;55;2000;1100;140
Departamento;Ate;4;6;4;550;15009;4125;
Departamento;Rímac;3;3;2;240;20000;3500;690
Departamento;Ate;4;3;4;400;14000;6035;
Departamento;Ate;4;3;4;165;4400;1600;420
Departamento;Jesús María;3;4;3;360;12000;1700;
Departamento;San Miguel;2;1;1;95;1700;856;111
Departamento;La Molina;2;1;1;67;1700;800;90
Local comercial;Pachacámac;0;0;0;84;1600;1700;165
Local comercial;San Borja;0;0;0;25;1000;430;
Tienda en Centro Comercial;Comas;0;0;0;35;3500;3180;279
Departamento;Jesús María;2;1;1;78;2000;700;
Habitación;San Borja;0;0;0;26;1850;500;
Casa;Lince;3;2;2;134;1700;;
Habitación;Pachacámac;0;0;0;33;800;277;103
Departamento;Chorrillos;2;0;0;70;3400;650;
Departamento;Jesús María;4;3;0;208;3000;800;440
Local comercial;Ate;0;2;0;130;13000;3413;8212
Local comercial;Pachacámac;0;0;0;320;28000;4000;
Departamento;San Borja;2;1;0;67;2400;1095;
Departamento;Comas;1;1;0;48;750;250;
Flat;Rímac;1;1;1;59;4000;1400;180
Departamento;Punta Negra;2;1;1;56;1500;580;
Habitación;Pachacámac;0;0;0;32;600;508;20
Departamento;Comas;4;2;1;191;8700;3700;150
Departamento;Callao;2;1;0;63;1300;545;
Departamento;Jesús María;3;3;1;140;2800;760;3500
Tienda/Salón;Ate;0;1;0;90;5500;1900;4895
Departamento;San Isidro;3;1;1;60;1450;372;
Local comercial;Pachacámac;0;0;0;370;11100;9244;2291
Departamento;Villa El Salvador;3;1;1;108;4000;1000;219
Flat;Comas;1;1;0;60;3500;1500;244
Departamento;Comas;3;1;1;130;6000;3200;280
Departamento;Pueblo Libre;4;3;2;240;9000;4811;1156
Habitación;Pachacámac;0;0;0;30;1100;420;25
Tienda/Salón;Chorrillos;0;0;0;585;60000;80;
Local comercial;Pachacámac;0;0;0;21;1000;339;83
Departamento;San Borja;2;0;1;114;2400;1410;140
Departamento;Punta Hermosa;2;1;1;76;3300;1123;229
Casa en condominio;Ate;4;8;1;400;7000;800;780
Chalet;Ate;23;0;23;862;1480;295;
Departamento;San Borja;3;1;1;92;2500;1100;1512
Local comercial;Jesús María;0;0;1;30;1300;600;
Departamento;Comas;3;1;1;140;4500;1200;250
Habitación;Rímac;1;0;0;30;1800;465;62
Flat;Ate;1;1;1;52;1200;2020;587
Casa comercial;Chorrillos;0;0;0;390;12000;;291
Departamento;Ate;4;2;2;245;6900;3400;580
Departamento;Jesús María;2;1;1;70;2000;500;
Departamento;Jesús María;3;2;1;105;1800;650;
Departamento;Ate;2;1;1;86;2900;1080;160
Departamento;Lince;3;1;0;56;900;780;
Departamento;Villa El Salvador;2;0;0;60;1900;1089;118
Departamento;San Borja;1;0;0;35;2200;317;
Departamento;Jesús María;2;1;1;99;2300;800;1913
Departamento;Lince;2;0;0;80;1100;;
Departamento;Breña;2;0;0;60;2500;650;99
Local comercial;Pachacámac;0;0;0;61;1500;1087;250
Departamento;San Borja;1;0;0;35;2000;560;67
Casa comercial;Chorrillos;11;4;3;400;8000;;2190
Local comercial;Jesús María;0;1;0;705;8000;;8628
Habitación;San Borja;1;0;0;30;1600;400;
Departamento;Chorrillos;1;1;0;45;1500;1098;192
Tienda/Salón;Pachacámac;0;0;0;280;8000;;
Local comercial;Ate;0;3;0;77;2800;1950;
Tienda/Salón;Bellavista;0;0;0;55;900;;112
Departamento;Rímac;2;2;1;150;10000;2270;408
Departamento;San Borja;1;0;0;47;1900;1400;185
Habitación;San Borja;1;0;0;32;2300;;
Local comercial;Pachacámac;0;0;0;292;4500;7000;1700
Flat;Comas;2;1;1;100;13000;4100;487
Departamento;Rímac;1;1;0;53;3800;1520;
Departamento;Callao;3;2;1;90;1900;1075;99
Departamento;Rímac;2;1;0;60;3900;1221;203
Habitación;San Miguel;1;0;0;28;1200;300;20
Local comercial;Jesús María;0;0;0;24;1300;400;
Departamento;Comas;2;1;1;86;12000;;
Local comercial;Ate;0;1;0;22;750;600;
Departamento;San Borja;3;1;1;130;4000;1500;348
Casa en condominio;Ate;5;3;3;1750;15000;2900;1798
Local comercial;Pachacámac;0;0;0;33;1100;350;85
Casa;Villa El Salvador;2;1;1;78;1500;;
Casa comercial;Punta Negra;0;0;0;108;3000;;
Departamento;Magdalena del Mar;2;1;0;70;1700;450;30
Departamento;Jesús María;1;1;1;55;1800;534;85
Local comercial;Ate;0;2;0;90;4500;;
Casa;Ate;5;0;5;800;30000;2333;2899
Departamento;Ate;2;1;0;58;1700;120;700
Departamento;San Borja;3;0;0;105;3800;1176;170
Departamento;San Bartolo;2;0;0;75;2800;918;
Local comercial;Ate;0;2;0;85;2200;2238;606
Tienda/Salón;Ate;0;0;0;32;1000;1753;6706
Departamento;San Borja;1;0;0;29;1450;800;
Departamento;Comas;3;0;0;90;2500;1310;223
Departamento;Villa El Salvador;3;1;1;211;4700;1850;479
Departamento;San Miguel;1;0;1;48;1200;620;47
Departamento;Villa El Salvador;2;0;0;70;1500;1027;
Departamento;San Borja;1;0;0;55;2100;628;54
Tienda/Salón;Punta Negra;0;10;0;1200;18000;;2200
Tienda/Salón;Comas;0;0;0;46;4500;1739;783
Departamento;Ate;2;1;1;59;1700;650;52
Departamento;San Borja;4;2;2;389;11800;4133;11536
Flat;San Borja;1;1;0;60;1600;1500;170
Departamento;Rímac;2;2;1;88;4500;1900;390
Departamento;San Miguel;2;0;0;79;1200;917;91
Departamento;San Borja;2;0;0;60;2500;520;
Departamento;Chorrillos;1;1;0;100;2500;935;155
Tienda/Salón;Jesús María;0;1;0;75;2800;750;
Local comercial;Ate;0;5;0;98;10000;3100;7189
Departamento;La Punta;2;0;0;64;1600;270;47
Departamento;Villa El Salvador;3;0;1;107;2800;1100;150
Departamento;San Luis;3;1;1;50;1400;400;17
Departamento;San Borja;2;1;0;73;2900;1150;
Departamento;Rímac;2;2;1;113;3500;1457;457
Tienda/Salón;Comas;0;0;0;18;1500;740;105
Departamento;Ate;4;3;1;180;7500;2400;700
Departamento;Santa Anita;2;1;0;65;1100;765;
Departamento;La Punta;2;1;0;58;750;475;17
Casa;Mi Perú;3;0;3;180;4500;;
Local comercial;San Martín de Porres;0;1;0;36;1000;780;
Casa en condominio;Carabayllo;3;2;0;88;2100;430;320
Departamento;Lince;3;1;0;65;900;130;
Departamento;Chorrillos;3;2;1;115;6800;1430;384
Almacén;Santa María del Mar;0;4;0;400;6500;;2662
Departamento;Jesús María;2;1;1;72;1300;770;137
Departamento;Jesús María;2;1;1;65;1700;733;137
Departamento;Ate;3;2;1;145;4500;986;473
Departamento;Magdalena del Mar;2;0;0;75;1200;460;
Local comercial;Ate;0;1;0;53;3000;1040;424
Departamento;Rímac;3;1;1;180;9000;1554;560
Departamento;Rímac;1;0;0;30;2100;620;79
Departamento;Ate;3;0;0;75;950;87;14
Departamento;Ate;4;3;2;330;7500;1700;
Departamento;Ventanilla;1;1;0;54;1400;743;66
Local comercial;Pachacámac;0;0;0;33;600;608;115
Departamento;Santa María del Mar;2;1;0;65;1200;618;
Local comercial;Pachacámac;0;0;0;65;1800;2000;245
Flat;Comas;2;2;2;94;13000;3500;
Departamento;Comas;3;0;0;90;2800;1400;180
Departamento;Ate;2;1;1;84;2500;2085;265
Departamento;Magdalena del Mar;1;0;0;35;550;;
Local comercial;Puente Piedra;0;7;0;1101;77070;24498;2213
Departamento;San Borja;3;1;0;90;3000;1102;251
Departamento;Santa Anita;2;1;0;60;1200;700;30
Tienda/Salón;Lince;0;0;0;40;2000;900;
Local comercial;Ate;0;4;0;150;7600;5861;10972
Departamento;Breña;2;1;0;62;2200;1060;132
Local comercial;Puente Piedra;0;5;0;1383;62249;;
Departamento;Chaclacayo;2;1;0;60;1000;396;21
Departamento;San Borja;2;0;0;55;2300;1232;
Departamento;Rímac;3;2;1;170;8000;2790;640
Departamento;Chorrillos;2;1;0;87;3000;780;
Departamento;Villa María del Triunfo;3;1;0;53;1200;340;
Departamento;Mi Perú;2;0;0;55;1550;90;
Departamento;San Miguel;1;0;0;52;1500;550;49
Departamento;Ate;2;1;0;80;1200;300;
Terreno;Lima;0;0;0;9080;22000;;17018
Departamento;San Miguel;3;0;1;126;2600;846;224
Departamento;Pueblo Libre;3;1;1;160;5000;2483;
Loft;Punta Hermosa;2;2;0;310;6000;750;500
Local comercial;San Borja;0;0;0;25;1500;545;161
Almacén;San Luis;0;0;0;400;25000;;
Departamento;Ate;3;2;1;105;2800;1630;262
Local comercial;Comas;0;1;0;56;5000;1850;576
Departamento;Villa El Salvador;2;1;0;65;2699;660;98
Departamento;San Bartolo;4;1;0;320;9500;2000;580
Departamento;Lima;2;0;0;40;850;;
Departamento;Ate;4;2;2;280;8000;2990;560
Almacén;Callao;0;0;0;990;20000;;3642
Casa;Ate;1;0;0;39;600;;16
Departamento;Lince;2;1;0;60;900;600;
Local comercial;Ate;0;36;0;1200;84500;44000;
Departamento;Comas;2;1;1;243;12000;2300;
Departamento;Callao;2;0;0;60;1200;600;50
Departamento;Ate;3;4;3;366;14000;3598;1013
Departamento;San Bartolo;2;0;0;87;2600;715;153
Departamento;Callao;2;2;0;81;850;350;49
Flat;Chorrillos;1;1;0;50;2400;775;150
Local comercial;Ate;0;1;0;30;1000;982;
Local comercial;San Luis;0;1;0;18;360;750;55
Departamento;Ventanilla;3;1;1;180;16887;2500;613
Departamento;Ate;2;1;1;68;1500;1400;
Departamento;Rímac;4;3;1;200;15000;1280;6798
Local comercial;Pachacámac;0;0;0;315;15750;5613;1561
Departamento;Comas;2;1;1;95;9500;3700;540
Departamento;San Luis;1;0;0;54;1000;450;20
Departamento;Ate;3;1;1;146;2200;630;167
Casa en condominio;Ate;4;3;1;400;8500;880;780
Local comercial;Ate;0;1;0;30;1200;350;
Tienda/Salón;San Borja;0;0;0;14;1100;700;
Departamento;Ate;3;2;1;106;3200;1765;
Departamento;La Perla;3;1;1;142;6000;960;3500
Local comercial;Comas;2;0;0;45;3290;2200;245
Departamento;Ate;4;3;3;160;8450;2300;400
Departamento;Jesús María;3;3;2;180;3900;1050;500
Casa en condominio;Jesús María;4;2;4;250;8000;1800;3600
Departamento;Puente Piedra;1;0;0;46;1597;600;65
Departamento;Comas;2;1;1;100;7500;2495;
Local comercial;Pachacámac;0;0;0;200;3000;2120;357
Departamento;Ate;3;2;1;165;5000;1200;500
Local comercial;Barranco;0;1;0;25;500;470;
Casa;Lince;2;1;0;90;1500;;
Loft;Ate;1;2;1;100;2200;1441;348
Departamento;Chorrillos;2;1;1;58;1100;490;70
Departamento;Jesús María;3;2;1;80;2300;350;
Habitación;Chorrillos;1;0;0;31;2100;341;53
Tienda/Salón;Breña;0;0;0;112;1500;1775;
Departamento;Ate;2;1;0;58;1600;728;100
Departamento;Pueblo Libre;3;1;3;170;10000;1200;450
Departamento;La Perla;2;1;0;40;750;100;
Local comercial;Pachacámac;0;0;0;195;4000;4576;1221
Casa en condominio;Ate;4;2;1;350;7500;957;
Local comercial;Pachacámac;0;0;0;150;4500;2000;700
Casa comercial;Lince;0;0;0;300;12000;;
Departamento;Rímac;4;2;2;160;12000;2900;590
Departamento;Rímac;2;2;2;80;6000;1800;
Departamento;Ate;3;2;1;127;3800;1570;302
Casa en condominio;Villa El Salvador;1;1;0;35;800;250;
Departamento;Ate;3;3;3;268;8000;3300;689
Departamento;Jesús María;3;2;1;109;2400;470;
Tienda/Salón;Pachacámac;0;0;0;186;6000;;
Local comercial;Chorrillos;0;15;0;650;55250;15502;5187
Departamento;Lurigancho;2;1;0;92;4600;800;200
Departamento;Jesús María;2;1;1;65;2000;680;100
Local comercial;San Miguel;2;0;0;42;1300;600;173
Departamento;La Punta;2;0;0;76;1200;250;
Casa;Ventanilla;3;0;0;100;3000;;2190
Departamento;San Borja;4;1;1;260;13000;1000;250
Local comercial;Jesús María;0;1;0;25;800;400;
Casa;Ate;4;3;1;350;7500;970;635
Departamento;San Borja;3;2;1;200;6000;1100;200
Flat;Rímac;2;1;1;110;6000;3978;307
Local comercial;San Martín de Porres;0;0;0;36;580;250;75
Departamento;Chorrillos;2;0;0;91;2800;350;
Departamento;Ate;3;3;1;236;9000;4489;1051
Departamento;Punta Hermosa;2;2;1;85;2500;1162;193
Departamento;Lince;2;1;0;65;800;330;
Departamento;La Perla;3;1;1;113;4800;1750;180
Departamento;Jesús María;2;1;1;50;1600;783;106
Local comercial;Pachacámac;0;0;0;42;2000;1109;
Departamento;Comas;2;3;1;100;5800;3900;450
Departamento;Jesús María;3;2;2;301;4000;700;
Departamento;Ate;1;2;1;124;3000;982;316
Departamento;Chorrillos;3;1;0;101;3200;991;149
Departamento;Ate;2;1;1;76;1900;1400;
Departamento;Comas;2;1;1;70;5000;2650;
Local comercial;Ate;0;1;0;50;1700;1170;
Departamento;Chaclacayo;2;1;0;60;1300;200;
Departamento;Jesús María;2;1;1;72;1900;650;100
Departamento;Ate;4;2;1;235;4200;2539;
Casa;Lince;2;0;0;70;900;;30
Departamento;San Bartolo;1;0;0;60;2200;600;76
Local comercial;Chorrillos;0;15;0;650;55250;22750;6344
Departamento;Mi Perú;2;1;0;80;1100;380;
Departamento;San Borja;3;1;1;159;3800;1550;3000
Edificio completo;Rímac;0;0;0;652;50000;;6500
Departamento;Pachacámac;1;1;0;51;1500;405;40
Departamento;San Luis;2;0;2;65;1100;30;
Departamento;San Miguel;2;0;0;80;1900;700;
Local comercial;San Borja;0;0;0;31;700;523;100
Departamento;San Borja;3;1;2;156;7000;1050;278
Departamento;Lurín;3;0;0;95;2200;1043;96
Departamento;San Miguel;3;2;0;104;2500;1238;164
Departamento;Ate;2;1;1;70;1600;900;
Departamento;Comas;3;2;3;230;24000;2400;950
Departamento;San Miguel;2;1;0;68;1350;670;74
Departamento;Jesús María;2;1;1;75;1750;790;110
Departamento;Comas;3;0;1;110;5500;1200;3900
Departamento;San Borja;1;0;1;30;1300;630;
Departamento;San Miguel;2;1;1;76;2500;930;92
Departamento;Jesús María;3;3;3;180;2800;1130;494
Local comercial;Pachacámac;0;0;0;35;600;488;84
Departamento;Ate;3;2;0;150;5500;2700;300
Departamento;Pachacámac;2;0;0;58;1000;366;
Departamento;Rímac;3;0;0;120;3600;950;207
Departamento;Ate;4;3;3;160;8600;2300;250
Departamento;Jesús María;2;1;1;78;2300;;
Departamento;Chaclacayo;2;0;0;90;1200;270;
Departamento;Villa El Salvador;3;1;0;123;2800;942;173
Casa;Jesús María;5;0;5;240;5000;;
Departamento;Ate;4;2;4;230;8000;2800;430
Departamento;Jesús María;2;1;1;64;1500;580;
Local comercial;Pachacámac;0;0;0;490;8900;7860;1521
Departamento;San Borja;2;0;0;72;3000;995;105
Almacén;San Miguel;0;0;0;1000;8900;;500
Departamento;Barranco;2;1;1;85;1300;500;
Departamento;Ate;4;2;1;190;7000;2200;660
Departamento;Mi Perú;2;1;0;48;1000;250;
Departamento;Ventanilla;2;1;0;60;1600;754;23
Local comercial;San Luis;0;0;0;70;2990;;196
Departamento;San Borja;4;2;1;260;10000;1614;520
Departamento;Miraflores;1;0;0;51;800;205;
Departamento;Punta Hermosa;3;1;0;120;3300;1180;
Departamento;Comas;2;1;0;45;3000;500;30
Departamento;San Bartolo;2;0;0;75;2700;878;
Local comercial;Lince;0;1;0;28;450;672;52
Local comercial;Ate;0;10;0;356;20000;13633;1889
Local comercial;Pachacámac;0;0;0;22;1200;585;
Local comercial;Ate;0;4;0;126;5791;2555;8730
Tienda/Salón;Rímac;0;3;0;140;26000;5500;
Flat;Comas;1;1;1;46;4000;;
Departamento;Rímac;2;2;0;74;1100;750;13
Departamento;San Miguel;3;1;0;70;1700;790;113
Departamento;Pueblo Libre;3;1;0;94;4000;1000;252
Departamento;Ventanilla;1;0;0;41;1200;450;
Departamento;Jesús María;2;1;1;60;1700;490;
Habitación;Pachacámac;0;0;0;26;950;315;21
Departamento;Comas;2;2;2;85;7000;2050;308
Local comercial;Mi Perú;0;1;0;25;600;523;2
Local comercial;Pachacámac;0;0;0;320;15000;4400;
Departamento;Comas;3;1;2;242;9999;;9925
Departamento;San Borja;4;2;4;420;25000;2000;1200
Local comercial;Pachacámac;0;0;0;20;8769;;
Departamento;San Isidro;1;1;1;133;1400;;
Local comercial;Chorrillos;0;4;0;197;22000;7306;1333
Almacén;San Luis;0;0;0;140;4900;1200;
Tienda en Centro Comercial;La Perla;0;0;0;55;13000;1203;5287
Habitación;San Borja;1;0;0;35;2500;500;40
Local comercial;Chaclacayo;1;0;0;25;500;;
Casa comercial;Chorrillos;0;2;0;500;12000;;2543
Departamento;Jesús María;3;1;1;80;2500;830;100
Departamento;Ate;3;2;1;212;5500;1200;682
Local comercial;Ate;0;1;0;27;1000;380;167
Departamento;Villa El Salvador;3;1;2;120;5000;881;1610
Edificio completo;Pachacámac;0;0;0;357;11500;;
Local comercial;Pachacámac;0;0;0;34;500;628;96
Local comercial;Pachacámac;0;0;0;194;6000;5023;439
Local comercial;Puente Piedra;0;0;0;110;3300;1100;
Departamento;San Borja;1;0;0;45;1900;670;30
Local comercial;Pachacámac;0;6;0;1959;146925;33303;6758
Departamento;San Luis;3;1;2;109;3000;1100;190
Local comercial;San Miguel;0;1;0;30;750;500;84
Departamento;San Borja;1;0;0;40;1500;340;71
Departamento;San Miguel;1;0;0;51;1200;670;
Departamento;Jesús María;3;2;1;120;1900;670;315
Habitación;Chorrillos;1;0;0;24;1100;520;
Departamento;Ate;4;3;2;330;12000;4700;1708
Local comercial;Ate;0;6;0;308;17000;6200;1300
Departamento;Jesús María;4;2;3;161;5000;900;
Local comercial;Ate;0;1;0;42;3000;700;1775
Departamento;Chorrillos;3;2;3;164;12500;1700;300
Departamento;Ate;3;2;1;140;4500;1600;3580
Departamento;Comas;3;2;1;180;8500;1716;820
Departamento;San Luis;1;1;0;59;1500;410;
Local comercial;Ate;0;4;0;100;4900;2950;560
Flat;San Borja;1;1;0;60;890;1800;150
Departamento;Callao;3;1;1;95;1600;840;226
Departamento;San Borja;1;1;0;60;800;460;250
Departamento;Lima;3;1;0;85;1500;;
Departamento;San Borja;2;1;0;90;3400;;
Departamento;Chaclacayo;2;0;0;57;1300;377;33
Local comercial;Ate;0;24;0;770;50000;29000;
Tienda/Salón;Callao;0;1;0;59;4000;930;249
Casa de villa;El Agustino;0;0;0;20;600;;
Local comercial;La Punta;0;1;0;23;600;430;
Local comercial;Jesús María;0;1;0;23;1000;575;
Local comercial;Comas;0;0;0;100;17000;;
Local comercial;Pachacámac;0;0;0;150;9000;5452;1215
Departamento;San Borja;3;1;0;130;3100;1300;
Tienda/Salón;Pachacámac;0;0;0;226;12000;;667
Departamento;Rímac;1;0;0;65;3600;600;120
Local comercial;Comas;0;1;0;115;10000;3235;624
Local comercial;Ate;0;2;0;75;3100;1680;180
Departamento;Santiago de Surco;2;1;1;84;950;320;
Departamento;Ate;3;3;1;230;16500;;
Tienda/Salón;Ate;0;1;0;110;2800;1680;1100
Departamento;San Borja;3;1;1;200;12000;;
Tienda/Salón;Punta Hermosa;0;1;0;80;5000;1000;
Local comercial;Pachacámac;0;0;0;212;8000;3500;1200
Departamento;San Miguel;2;1;0;88;1200;640;
Flat;Ate;1;2;1;110;3500;1700;200
Local comercial;Chorrillos;0;4;0;242;15000;9495;1711
Departamento;Comas;2;1;0;70;4000;614;150
Departamento;Jesús María;2;2;1;90;2000;820;222
Departamento;La Punta;2;1;0;55;1150;630;10
Departamento;San Borja;4;1;4;240;7000;2300;500
Departamento;Jesús María;3;1;1;87;3000;600;190
Departamento;San Borja;3;0;0;110;3000;1000;20
Local comercial;Pachacámac;0;0;0;50;790;300;83
Departamento;Lince;2;1;1;70;2400;950;128
Tienda/Salón;San Luis;0;1;0;129;8200;;
Departamento;Chorrillos;3;1;0;93;3200;750;122
Departamento;Santa María del Mar;1;1;0;47;1200;290;49
Local comercial;Lurigancho;0;0;0;35;700;290;50
Departamento;San Borja;1;0;0;34;1400;470;55
Departamento;San Miguel;3;1;0;95;2300;710;
Almacén;Chaclacayo;0;0;0;720;3500;;
Local comercial;Pachacámac;0;0;0;78;1500;650;240
Local comercial;Ate;0;1;0;36;1300;731;250
Habitación;San Borja;1;1;0;42;1850;500;70
Departamento;Villa El Salvador;3;1;1;205;7000;1550;
Departamento;La Punta;2;1;0;66;1300;450;510
Local comercial;Punta Hermosa;0;0;0;80;3500;810;250
Tienda/Salón;Lince;0;2;0;133;2500;;172
Casa;Chorrillos;3;4;1;316;1950;;187
Local comercial;Punta Hermosa;0;3;0;100;11000;2051;456
Tienda/Salón;Ate;0;1;0;31;2100;700;
Tienda/Salón;Chorrillos;0;0;0;1950;250000;;
Departamento;Los Olivos;2;0;0;68;1000;580;15
Tienda/Salón;Comas;0;0;0;30;1500;680;174
Departamento;Punta Hermosa;5;3;5;550;15000;11860;3633
Departamento;Jesús María;3;2;1;280;3000;690;950
Departamento;San Borja;1;0;0;30;1400;430;30
Local comercial;Pachacámac;0;0;0;150;10000;1300;575
Departamento;Chorrillos;3;1;1;110;5000;991;218
Departamento;Ate;2;1;1;70;5000;2700;258
Departamento;Chorrillos;2;1;0;70;2500;;
Departamento;San Borja;3;1;0;120;6000;730;
Departamento;Ate;2;1;2;74;2300;1350;
Local comercial;Chorrillos;0;14;0;648;73000;25166;
Departamento;San Borja;2;1;1;145;2200;581;22
Departamento;Carmen de La Legua;1;0;0;35;650;;
Habitación;Pachacámac;0;0;0;20;950;240;20
Departamento;Pachacámac;1;0;1;40;950;350;24
Departamento;Callao;2;1;0;68;1200;582;62
Local comercial;Pachacámac;0;0;0;432;12000;7808;2350
Departamento;Comas;4;3;2;200;12000;1950;628
Casa comercial;Chorrillos;0;2;0;261;18000;;1609
Local comercial;San Miguel;0;1;0;54;2500;795;60
Departamento;Jesús María;3;2;1;113;2500;560;243
Casa comercial;Pachacámac;0;0;0;330;5900;;4445
Departamento;Ate;4;2;1;120;3000;1600;241
Casa en condominio;Chorrillos;3;0;2;150;5400;400;200
Departamento;Puente Piedra;2;0;0;60;2400;700;
Departamento;San Luis;2;1;0;50;1200;400;
Local comercial;Pachacámac;0;0;0;154;2911;1265;663
Departamento;Ate;2;1;0;51;1290;500;13
Departamento;Ate;4;3;4;265;12000;5500;800
Departamento;Ate;3;3;3;200;6000;2400;720
Departamento;Ate;3;3;3;203;5500;2800;700
Casa en condominio;Jesús María;5;2;5;290;4000;1100;
